,asset,amount,count,tx_size
0,BTC,15630.974299735,222,15630.974299735
1,ETH,7038.35761079798,114,7038.35761079798
2,LUNA,6132.874296522936,437,6132.874296522936
3,MNGO,5080.69946051004,282,5080.69946051004
4,SOL,11436.871289852801,2317,11436.871289852801
5,SOL (tsUSDC),37940.369016914534,131,37940.369016914534
