,amount,symbol,cash,date,signer,receiver,asset
2045,100.052275,USDC,USDC,2022-02-14T05:46:05Z,4YS1eh7u2ryzA9RQRk5ci8ZfHu71BGvZagik7Kx1SbQJ,4YS1eh7u2ryzA9RQRk5ci8ZfHu71BGvZagik7Kx1SbQJ,SOL
2046,46.492551,USDC,USDC,2022-02-14T06:07:51Z,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,SOL
2047,21482.062609,USDC,USDC,2022-02-14T07:01:08Z,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,SOL
2048,850.00009,USDC,USDC,2022-02-14T09:20:00Z,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,ETH
2049,8676.398723,USDC,USDC,2022-02-14T09:20:12Z,FYN5mGCiVBtErYBCU2jN8QBWZRJkuLnBM6StEhD8n49J,FYN5mGCiVBtErYBCU2jN8QBWZRJkuLnBM6StEhD8n49J,BTC
2050,20.107204,USDC,USDC,2022-02-14T09:43:31Z,4b3Hxcs6H3LSHHnExWYp8Cvps1fuyLksPTLWoywY3coj,4b3Hxcs6H3LSHHnExWYp8Cvps1fuyLksPTLWoywY3coj,SOL
2051,600.0,USDC,USDC,2022-02-14T11:14:24Z,HfdDwAufrrVzpPxSEWsghTRTuErNp9PXUzPVABHtD9fv,HfdDwAufrrVzpPxSEWsghTRTuErNp9PXUzPVABHtD9fv,SOL
2052,9986.411013,USDC,USDC,2022-02-14T13:11:29Z,38cNrYZGUejmRs6qjypcicU65bRDHs4fEZtjuSX61sSN,38cNrYZGUejmRs6qjypcicU65bRDHs4fEZtjuSX61sSN,MNGO
2053,9986.411013,USDC,USDC,2022-02-14T13:15:57Z,38cNrYZGUejmRs6qjypcicU65bRDHs4fEZtjuSX61sSN,38cNrYZGUejmRs6qjypcicU65bRDHs4fEZtjuSX61sSN,MNGO
2054,13872.386834,USDC,USDC,2022-02-14T21:42:27Z,v3iqNntDy5p16cjEfvirA7Xwbx9FPgXWVaz6Q3ANyhT,v3iqNntDy5p16cjEfvirA7Xwbx9FPgXWVaz6Q3ANyhT,SOL
