,asset,usd,epoch,amount,amt_usd
99,mSOL,84.63,Epoch 4 - 2022-01-06,29909.267595289,2531221.316589308
100,mSOL,84.63,Epoch 5 - 2022-01-13,17421.209605423,1474356.9689069483
101,mSOL,84.63,Epoch 6 - 2022-01-20,46857.421001865994,3965543.539387919
102,mSOL,84.63,Epoch 7 - 2022-01-27,68303.237681352,5780503.004972819
103,mSOL,84.63,Epoch 8 - 2022-02-03,30929.626703264,2617574.307897232
104,mSOL,84.63,Epoch 9 - 2022-02-10,7972.344132158,674699.4839045316
105,mSOL,84.63,Epoch 10 - 2022-02-17,3576.2156953460003,302655.13429713197
106,mSOL,84.63,Epoch 11 - 2022-02-24,5501.319501152,465576.66938249377
107,mSOL,84.63,Epoch 12 - 2022-03-03,5869.019443841999,496695.1155323484
108,mSOL,84.63,Epoch 13 - 2022-03-10,5041.36323547,426650.5706178261
109,MNGO,0.146569,Epoch 2 - 2021-12-23,121359.842571,17787.5907657889
110,MNGO,0.146569,Epoch 4 - 2022-01-06,275847.683934,40430.719186522445
111,MNGO,0.146569,Epoch 5 - 2022-01-13,1775562.406046,260242.4062917562
112,MNGO,0.146569,Epoch 6 - 2022-01-20,1617862.403812,237128.47466432105
113,MNGO,0.146569,Epoch 7 - 2022-01-27,2069386.11613,303307.85365505796
114,MNGO,0.146569,Epoch 8 - 2022-02-03,2117303.446862,310331.0489031165
115,MNGO,0.146569,Epoch 9 - 2022-02-10,340095.468791,49847.45276522808
116,MNGO,0.146569,Epoch 10 - 2022-02-17,203796.293565,29870.218951528484
117,MNGO,0.146569,Epoch 11 - 2022-02-24,664258.6834929999,97359.7309808855
118,MNGO,0.146569,Epoch 12 - 2022-03-03,442735.754331,64891.33677654034
119,MNGO,0.146569,Epoch 13 - 2022-03-10,4836.541152,708.887000107488
120,SBR,0.0296688,Epoch 3 - 2021-12-30,411418.998496,12206.307982578124
121,SBR,0.0296688,Epoch 5 - 2022-01-13,5381418.425768999,159660.2269904553
122,SBR,0.0296688,Epoch 6 - 2022-01-20,10502977.534214,311610.73986708827
123,SBR,0.0296688,Epoch 7 - 2022-01-27,3560725.509973,105642.45301028693
124,SBR,0.0296688,Epoch 8 - 2022-02-03,1589169.75623,47148.75966363662
125,SBR,0.0296688,Epoch 9 - 2022-02-10,2215519.635089,65731.80894952852
126,SBR,0.0296688,Epoch 10 - 2022-02-17,1710566.4980150003,50750.45531630744
127,SBR,0.0296688,Epoch 11 - 2022-02-24,1077363.982244,31964.096516400787
128,SBR,0.0296688,Epoch 12 - 2022-03-03,2175567.735656,64546.48403563074
129,SBR,0.0296688,Epoch 13 - 2022-03-10,282207.970762,8372.771842943626
